,a,b,e,c,d
603,-7,0,-8,-7,1
604,-7,0,-8,-7,1
605,-7,0,-8,-7,1
606,-7,0,-8,-7,1
607,-7,0,-8,-7,1
608,-7,0,-8,-7,1
609,-7,0,-8,-7,1
610,-7,0,-8,-7,1
611,-7,0,-8,-7,1
612,-7,0,-8,-7,1
613,-7,0,-8,-7,1
614,-7,0,-8,-7,1
615,-7,0,-8,-7,1
616,-7,0,-8,-7,1
617,-7,0,-8,-7,1
618,-7,0,-8,-7,1
619,-7,0,-8,-7,1
620,-7,0,-8,-7,1
621,-7,0,-8,-7,1
622,-7,0,-8,-7,1
623,-7,0,-8,-7,1
624,-7,0,-8,-7,1
625,-7,0,-8,-7,1
626,-7,0,-8,-7,1
627,-7,0,-8,-7,1
628,-7,0,-8,-7,1
629,-7,0,-8,-7,1
630,-7,0,-8,-7,1
631,-7,0,-8,-7,1
632,-7,0,-8,-7,1
633,-8,0,0,-8,1
634,-8,0,0,-8,1
635,-8,0,0,-8,1
636,-8,0,0,-8,1
637,-8,0,0,-8,1
638,-8,0,0,-8,1
639,-8,0,0,-8,1
640,-8,0,0,-8,1
641,-8,0,0,-8,1
642,-8,0,0,-8,1
643,-8,0,0,-8,1
644,-8,0,0,-8,1
645,-8,0,0,-8,1
646,-8,0,0,-8,1
647,-8,0,0,-8,1
648,-8,0,0,-8,1
649,-8,0,0,-8,1
650,-8,0,0,-8,1
651,-8,0,0,-8,1
652,-8,0,0,-8,1
653,-8,0,0,-8,1
654,-8,0,0,-8,1
655,-8,0,0,-8,1
656,-8,0,0,-8,1
657,-8,0,0,-8,1
658,-8,0,0,-8,1
659,-8,0,0,-8,1
660,-8,0,0,-8,1
661,-8,0,0,-8,1
662,-8,0,0,-8,1
663,-8,0,0,-8,1
664,-8,0,0,-8,1
665,-8,0,0,-8,1
666,-8,0,0,-8,1
667,-8,0,0,-8,1
668,-8,0,0,-8,1
669,-8,0,0,-8,1
670,-8,0,0,-8,1
671,-8,0,0,-8,1
672,-8,0,0,-8,1
673,-8,0,0,-8,1
674,-8,0,0,-8,1
675,-8,0,0,-8,1
676,-8,0,0,-8,1
677,-8,0,0,-8,1
678,-8,0,0,-8,1
679,-8,0,0,-8,1
680,-8,0,0,-8,1
681,1,0,-9,1,1
682,1,0,-9,1,1
683,1,0,-9,1,1
684,1,0,-9,1,1
685,1,0,-9,1,1
686,1,0,-9,1,1
687,1,0,-9,1,1
688,1,0,-9,1,1
689,1,0,-9,1,1
690,1,0,-9,1,1
691,1,0,-9,1,1
692,1,0,-9,1,1
